Barrier ID,Site Name,Structure Status,Structure Rank,Average Habitat Upstream of Structure (km),Actual Habitat Upstream of Structure (km)
1000400036,Maydoe Cr @ Nielsen Rd (400036),Unassessed structure,1,2.89,0.15
15f6b748-457c-4cfb-ba88-01954f24e66c,Maydoe Cr @ dam (1556b),Unassessed structure,1,2.89,5.63
1000400131,Trib 4a to Charlotte Lk @ Unnamed (400131),Unassessed structure,2,4.98,4.98
203323,Fish Cr @ Private (203323/24727680),Data-deficient barrier,3,1.94,1
203334,Schoolhouse Cr @ Olsen Rd (203334/24727681),Data-deficient barrier,3,1.94,2.89
1000400059,Trib 3a to Charlotte Lk @ Unnamed (400059),Unassessed structure,4,1.21,0.73
1000400471,Trib 3a to Charlotte Lk @ Retired FSR (400471),Unassessed structure,4,1.21,1.7
203329,Trib to Snooka Cr @ Hwy 20 (203329/1000023),Data-deficient barrier,5,1.53,1.53
1000400035,Trib to Maydoe Cr @ Nielsen Rd (400035),Unassessed structure,6,1.34,1.34
1000400056,Trib 2 to Charlotte Lk @ Private (400045),Unassessed structure,7,1.02,0.22
1000400034,Trib 2 to Charlotte Lk @ Nielsen Rd (400034),Unassessed structure,7,1.02,1.83
1001000135,Noomst Cr @ unnamed (1000135),Unassessed structure,8,1.38,1.38
203320,Trib to Bella Coola R @ Hwy 20 (203320/1000176),Data-deficient barrier,9,1.23,1.23
203321,Trib to Nooklikonnik Cr @ Hwy 20 (203321/1000778),Data-deficient barrier,10,0.86,0.86
203326,Trib to Snootli Cr @ Walker Park Rd (203326/1000017),Data-deficient barrier,11,0.91,0.91
1001000007,Trib to Bella Coola R @ Hwy 20 (1000007),Unassessed structure,12,2.22,2.22
1000400423,Trib to Whitton Cr @ unnamed (400423),Unassessed structure,13,0.74,0.74
1001000822,Trib to Talchako R @ Unnamed (1000822),Unassessed structure,14,0.72,0.72
203327,Trib to Snooka Cr @ Hwy 20 (203327/100016),Data-deficient barrier,15,0.66,0.66
1000400057,Trib 1 to Charlotte Lk @ Private (400057),Unassessed structure,16,0.48,0.06
1000400031,Trib 1 to Charlotte Lk @ Engadin Rd (400031),Unassessed structure,16,0.48,0.03
1000400012,Trib 1 to Charlotte Lk @ Charlotte Lk Rd (400012),Unassessed structure,16,0.48,1.36
1001000057,Trib to Talchako R @ Unnamed (1000057),Unassessed structure,17,0.58,0.58
203336,Molly Walker Cr @ Hwy 20 (203336),Data-deficient barrier,18,0.52,0.52
1000400398,Trib 5 to Charlotte Lk @ Unnamed (400398),Unassessed structure,19,0.51,0.51
1000400468,Trib 4b to Charlotte Lk @ 51-13 FSR (400468),Unassessed structure,20,0.35,0
1000400072,Trib 4b to Charlotte Lk @ spur off 51-13 FSR (400072),Unassessed structure,20,0.35,0.71
