Barrier ID,Site Name,Watershed Name ,Structure Type,Assessment Step Completed,Next Step,Reason,Notes ,Supporting Links
203323,Fish Cr @ Private (203323/24727680),BELA,Stream crossing - CBS,Barrier assessment,Habitat confirmation (data deficient structures only),,"Stream channel width and slope visually estimated from photos. Upstream habitat has good channel features (LWD, SWD, OV) and stable structure with good substrates (10% fines), culverts outlet directly to Bella Coola River.",http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=204873
203334,Schoolhouse Cr @ Olsen Rd (203334/24727681),BELA,Stream crossing - CBS,Barrier assessment,Habitat confirmation (data deficient structures only),,Historical Coho observations and in situ observation of sport fish (CT/DV),http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=204884
203329,Trib to Snooka Cr @ Hwy 20 (203329/1000023),BELA,Stream crossing - CBS,Barrier assessment,Habitat confirmation (data deficient structures only),,Triple culvert (2 CSPs + 1 wooden steelbound). Habitat braids off from ditch to mixed forest wetland habitat. Area of upstream habtiat appears to be an extensive network of small braided channels through mixed forest wetland habitat. Small channelsin in this area range from 0.5-1.0 m in width on average. Downstream flow of stream redirected into excavated ditch.,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=204879
203320,Trib to Bella Coola R @ Hwy 20 (203320/1000176),BELA,Stream crossing - CBS,Barrier assessment,Engage with partners,,Noted as medium quality habitat in PSCIS but low quality in notes. Determine whether to advance to habitat confirmation or exclude.,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=204870
203321,Trib to Nooklikonnik Cr @ Hwy 20 (203321/1000778),BELA,Stream crossing - CBS,Barrier assessment,Habitat confirmation (data deficient structures only),High quality habitat with salmonid presence confirmed. ,"Substrate a mix of good spawning gravels (70%) and fines 930%) downstream. More organinc materials upstream with 70% fines, 30% gravels. Potential for migratory, rearing, spawning habitat. Juvenile presence and adult carcasses observed.",http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=204871
203326,Trib to Snootli Cr @ Walker Park Rd (203326/1000017),BELA,Stream crossing - CBS,Barrier assessment,Habitat confirmation (data deficient structures only),High quality habitat,Double culvert. Outlet pool beyond culvert possibly created by culvert install. ~3 cm organic materials covering gravel/sandy substrate.,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=204876
203327,Trib to Snooka Cr @ Hwy 20 (203327/100016),BELA,Stream crossing - CBS,Barrier assessment,Engage with partners,Low quality habitat. Recommend excluding. Confirm with partners. ,0021C. Culvert ends are buried. Wooden culvert. No viable habitat or streamcourse at location or upstream/downstream. High amounts of vegetation in ditch downstream. Some groundwater filtering through.,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=204877
203336,Molly Walker Cr @ Hwy 20 (203336),BELA,Stream crossing - CBS,Barrier assessment,Habitat confirmation (data deficient structures only),High quality habitat on unmapped stream,"Immediately upstream and downstream of culvert has good spawning substrate materials. Downstream substrate mostly fines (90-95%) with unstable banks, low gradient, instream veg indicating seasonal low flows.",http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=204886
203335,Trib to Atnarko Sl @ Hwy 20 (203335/24700721),ATNA,Stream crossing - CBS,Barrier assessment,Habitat confirmation (data deficient structures only),,"Stream provides seasonal migratory and rearing habitat Dolly Varden/Coho, instream vegetation indicates seasonal stream. Visual observation of Coho fry upstream and downstream of culvert. Debris appears to accumulate at culvert inlet during freshet.",
203331,Trib to Salloompt Cr @ Lost Lk Rd (203331/1000595),BELA,Stream crossing - CBS,Barrier assessment,Engage with partners,Low quality habitat. Determine whether to exclude or advance to habitat confirmation,"upstream and downstream habitat braided small stream with heavy vegetation, moderate gravels 70/30 fine/coarse",http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=204881
203333,Trib to Bella Coola R @ Hwy 20 (203333/1000187),BELA,Stream crossing - CBS,Barrier assessment,Habitat confirmation (data deficient structures only),Scores as barrier but Coho carcass observed upstrea. ,"Coho Carcass observed upstream of culvert, and live coho adults immediatly downstream of culvert",http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=204883
203332,Trib to Salloompt R @ Lost Lk Rd (203332/1000593),BELA,Stream crossing - CBS,Barrier assessment,Engage with partners,"Seasonal, high gradient stream. Low quality habitat. Recommend excluding.",Scores as potential barrier. ,https://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=204882
203328,Trib to Bella Coola R @ Hwy 20 (203328/1000041),BELA,Stream crossing - CBS,Barrier assessment,Habitat confirmation (data deficient structures only),No modeled habitat but confirmed seasonal Coho presence,Water drops onto rocks and pool begins 0.55 m from culvert. Med to high value spawning and rearing habitat with seasonal presence of Coho.,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=204878
