Barrier ID,Site Name,Watershed Name ,Structure Type,Reason for Exclusion ,Reason Details,Supporting Links
1001000026,,Bella Coola River,Stream crossing - CBS,No key upstream habitat,No stream ,
1001000223,,Bella Coola River,Stream crossing - CBS,No key upstream habitat,"Ephemeral stream, poor habitat value, and high gradient. Culvert provides seasonal runoff drainage with no established stream course.",
833799d0-c501-4f3d-9d49-9eda6c3a0935,,Bella Coola River,Dam,Passable,,
203316,1000400160,Atnarko River,Stream crossing - OBS,Passable,Bridge,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=204866
203317,1024726888,Bella Coola River,Stream crossing - OBS,Passable,Bridge,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=204867
203322,1000400065,Atnarko River,Stream crossing - OBS,Passable,Bridge,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=204872
203325,1024743059,Bella Coola River,Stream crossing - OBS,Passable,Bridge,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=204875
203330,,Bella Coola River,Stream crossing - OBS,Passable,Bridge,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=204880
203318,,Bella Coola River,Stream crossing - OBS,Passable,Bridge,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=204868
203319,1001000717,Bella Coola River,Stream crossing - OBS,Passable,Log stringer bridge,http://a100.gov.bc.ca/pub/pscismap/imageViewer.do?assessmentId=204869
203324,,Atnarko River,Stream crossing - OBS,Passable,,
1001000475,,Bella Coola River,Other,No structure,Stream has rerouted past all historic structures and is passable,
1024742407,,Bella Coola River,Other,No structure,Stream has rerouted past all historic structures and is passable,
1001000024,,Bella Coola River,None,No structure and key upstream habitat,No stream or structure present at coordinates,
1001000479,,Bella Coola River,Other,No structure,Stream has rerouted past all historic structures and is passable,
1001000027,,Bella Coola River,None,No structure and key upstream habitat,No stream or crossing,
1001000175,,Bella Coola River,None,No structure and key upstream habitat,No structure or stream,
1001000140,,Bella Coola River,None,No structure,No structure,
1001000302,,Bella Coola River,None,No structure and key upstream habitat,No structure or watercourse present,
